UNITNAME,code,colour
Leederville Formation,K_WRl_ss,#D4FEA1
Leeuwin Inlier metagranitic unit,P_E_mgn_PJLE,#FB9FFC
Leeuwin Inlier metamorphosed mafic intrusive unit,P__mof_PJLE,#62D895
Leilira Formation,A_SSl_s,#DAD2CF
Lennis Sandstone,EO__le_st,#EFBEE7
Lesueur Sandstone,R__le_st,#D1FDF2
Lewis Granite,P___ls_gm,#FEBFBA
Lewis Granite,P___ls_gmj,#FEBFBA
Lillybooroora Conglomerate,DC__li_scp,#D5DBFD
Lindsay Hill Formation,P___lh_xmt_mtq,#BFADB3
Liveringa Group,P_LI_s,#B5E1FC
Louden Volcanic Member,A_CDbl_xb_s,#63FD67
Louisa Downs Group,P__LD_sk,#F5D4E9
Lucas Formation,PZ__lc_ss,#EAEDFE
Lupton Formation,P___lu_se,#D2C4C9
Lyons Group,CP_LY_sepg,#CEEBFD
MacDougall Formation,P__KRd_sg,#EDF2CF
Maddina Formation,A_FOm_b,#EEEFE2
Madura Formation,K__ma_ssh,#C9FE8A
Madura Province metagranitic unit,P__xmg_mw_MAD,#FBA7FA
Mafic intrusive unit,od,#1EC868
Maggie Hays Formation,A__mh_xbb_s,#66EE70
Mahony Group,D_MA_sp,#C0C8FB
Maitland Intrusion,A_STma_xo_a,#A5E9C3
Maitland River Supersuite,A_MR_g,#FE9E98
Malcolm Metamorphics,P___mm_xmh_mws,#CFC995
Mallina Formation,A_CDm_s,#F7B588
Mallindra Well Granodiorite,A_STml_ggh,#FEBFBA
Malmac Granite,A__mc_gm,#FE9E98
Malu Formation,P__LAm_stq,#D09587
Manganese Group,P__MN_s,#F7B297
Manyutup Tonalite,A__ma_gt,#FEAEA9
Mapa Igneous Complex,A__rn_xo_mo,#A5E9C3
Maraloou Formation,P__YMm_sl,#F1D8BD
Marble Bar Chert Member,A_WAdm_ccb,#6BC3F9
Marboo Formation,P___mr_mh,#93911E
Marda Complex,A_MD_f,#FEE79F
Marda Complex,A_MD_s,#FEE79F
Marlomumbah Granite,A_BRma_gfv,#FCC1D8
Marra Mamba Iron Formation,A_HAm_cib,#B5E1FC
Marymia Inlier granitic unit,A_g_YMA,#FECFCB
Mason Knob Monzogranite,A__as_gmp,#FECFCB
Maurice Formation,P_E__ma_stq,#FEDCBB
Maydon Basalt,A__mo_mbb,#63FD67
McFadden Formation,P__DIm_st,#F9DF9E
McKay Creek Metasyenogranite,P___kc_xmgr_mgi,#E3C8B5
McPhee Formation,A_WAh_xu_s,#63FD67
Meekatharra Formation,A_POm_xb_f,#9EFEA0
Mereenie Sandstone,SD__me_st,#F7E8FE
Merlinleigh Sandstone,GE__me_stz,#EEF5B6
Merougil Formation,A__me_st,#D9D8B0
"Mesozoic siliciclastic units, eastern Canning Basin",MZ_s_CA,#BAFCEC
Metamorphic unit,myyq,#000000
Metawandy Granite,A__mt_gm,#FECFCB
Miaree Granite,A_MRmi_gm,#FE9E98
Millars Monzogranite,A__mi_gmq,#FECFCB
Milli Milli Inlier greenstones,A_b_PMI,#C4FEC6
Milli Milli Inlier greenstones,A_s_PMI,#E3DDDB
Milli Milli Inlier metagranitc unit,A_mgn_PMI,#FE6FB8
Millidie Creek Formation,P__PAm_ss,#ECCBA7
Millindinna Intrusion,A_STmi_xo_a,#A5E9C3
Millury Formation,P__MSm_st,#EEB041
Millyit Sandstone,R__mi_sr,#A3FBE5
Mingenew Formation,P__mi_ss,#CEEBFD
Minnamonica Monzogranite,A_SRmi_gmp,#FD7E75
Mission Group,P__MI_xbb_s,#C3C4C4
Mondana Monzogranite,A_SRmn_gm,#FD7E75
Moodini Supersuite,P__MD_xg_og,#FEE2BD
Moogie Metamorphics,P__MG_xmh_mk,#FEBA70
Moola Bulla Formation,P___mb_sz,#CE2AD0
Moolyella Monzogranite,A_SRmo_gm,#FD7E75
Moora Group,P__OA_xs_b,#F5D06E
Moorarie Supersuite,P__MO_g,#FDADE6
Moorarie Supersuite,P__MO_mog,#D2F4E1
Mosquito Creek Formation,A_NUq_mh,#FAD0B4
Motherin Monzogranite,A_CLmo_xmgm_mgg,#EB3BA0
Mount Ada Basalt,A_WAm_b,#B1FEB3
Mount Augustus Sandstone,P___au_sp,#ECCBA7
Mount Barren Group,P__MB_mh,#F6C292
Mount Crofton Granite,P___cr_g,#FE8E87
Mount Gregory Monzodiorite,A_OPmg_gh,#FD5E53
Mount Harris Basalt,P__TJh_mbb,#EDCCDC
Mount Holmes Gabbro,P__WKho_og,#8EE4B4
Mount House Group,P__HU_se,#FBCB8C
Mount James Subgroup,P__POJ_md,#EDD5CC
Mount Joseph Migmatite,P___mj_mhi,#E9E9D2
Mount Kenneth Suite,A_ANK_gt,#FEEAF2
Mount Kenneth Suite,A_ANK_jmg_md,#FEEAF2
Mount Kenneth Suite,A_ANK_mg,#FEEAF2
Mount Leake Formation,P___mk_st,#E0CABF
Mount McGrath Formation,P__WYm_sp,#FECE90
Mount McRae Shale and Mount Sylvia Formation,A_HAu_xsl_ci,#B6846A
Mount Minnie Group,P__MK_s,#D2C7A6
Mount Negri Volcanic Member,A_CDbn_b,#8AFE8D
Mount Palgrave Group,P__PG_xf_s,#FEE1A5
Mount Parker Formation,P___mp_s,#F3EFF1
Mount Ragged Formation,P___rg_mh,#D1DBDE
Mount Roe Basalt,A_FOr_b,#C4C798
Mount Sholl Intrusion,A_STms_xo_a,#A5E9C3
Mount Venn Igneous Complex,A__vn_o,#BCEED2
Mount Waugh Formation,P__PGw_xfr_sp,#FBCB8C
Mount Webb Granite,P___we_mgm,#FEE2FD
Mount Weld Carbonatite,P___wl_r,#B6F7F4
Mu Formation,E__mu_sm,#E492D8
Muja Coal Measures,P_CLm_snh,#9DD7FB
Mulgandinnah Monzogranite,A_STmg_gme,#FE9E98
Mulgarra Sandstone,P__EMu_st,#AB7355
Mullingarra Gneiss,P___mg_xmdn_mwa,#D2C4C9
Mullugunya Granodiorite,A_EMml_gg,#F492CA
Munarra Monzogranite,A_TUmu_gm,#FCBD8E
Mundadjini Formation,P__SUm_ss,#F9DF9E
Mundine Well Dolerite Suite,P__MW_od,#1EC868
Munganbrina Monzogranite,A_EMmu_gm,#F492CA
Mungarinya Monzogranite,A_STug_gmp,#FEBFBA
Mungaroona Granodiorite,A_STmr_gg,#FEBFBA
Munglinup Gneiss,AP___mu_xmgn_mo,#FEC1E1
Munglinup Gneiss,AP___mu_xmgn_moa,#FEC1E1
Munkayarra Shale,R__my_sl,#76F9D9
Munni Munni Intrusion,A_STmu_xo_a,#A5E9C3
Munyu Sandstone,P___my_st,#AAAAA2
Murchison Supergroup,A_MU_bs,#D8FFD9
Murchison Supergroup,A_MU_fn,#FEDC6E
Murchison Supergroup,A_MU_mb,#D8FFD9
Murchison Supergroup,A_MU_mo,#D8FFD9
Murchison Supergroup,A_MU_mu,#D8FFD9
Murchison Supergroup,A_MU_xmws_mds,#D8FFD9
Murrouli Basalt,A_NOm_mb,#B1FEB3
Musgrave Province metagranitic unit,P__mg_MU,#FEC8EE
Musgrave Province metamorphic unit,P__myx_MU,#FED8A7
Musgrave Province metamorphic unit,P__myy_MU,#FDB14E
Musgrave Province metamorphic unit,P__xmna_mg_MU,#CFDAD7
Myanna Leucogranite,A_SRmy_gml,#FD7E75
Mystery Monzogranite,A__my_gm,#FE9E98
Nadarra Formation,NP__na_klul,#A5E9C3
Nallana Formation,A_WHn_b,#FEE2A1
Nandingarra Granodiorite,A_EMna_gge,#F492CA
Nangetty Formation,CP__na_sepg,#84CDFA
Nannine Tonalite,A_ANnn_mgta,#F698C6
Nanutarra Formation,K__na_sz,#D4FEA1
Nanutarra Formation and Yarraloola Conglomerate,K__ny_sp,#D4FEA1
Narimbunna Dolerite,P___nr_od,#4BD386
Narndee Igneous Complex,A_ANna_xony_any,#D2F4E1
"Narndee Igneous Complex, lower zone",A_ANnl_xom_ax,#78DEA4
"Narndee Igneous Complex, middle zone",A_ANnm_xom_mat,#A5E9C3
"Narndee Igneous Complex, ultramafic zone",A_ANnu_xap_ao,#A699FC
Narracoota Formation,P__BYn_bb,#F1C5D7
Narryer Terrane granitic unit,A_g_YNA,#FECFCB
Narryer Terrane greenstones,A_b_YNA,#C4FEC6
Narryer Terrane greenstones,A_f_YNA,#FEE79F
Narryer Terrane greenstones,A_mat_YNA,#E9E6FE
Narryer Terrane greenstones,A_mba_YNA,#3CFD41
Narryer Terrane greenstones,A_mhs_YNA,#DAD2CF
Narryer Terrane greenstones,A_mi_YNA,#099BF5
Narryer Terrane greenstones,A_mtq_YNA,#DAD2CF
Narryer Terrane greenstones,A_mu_YNA,#B1A6FC
Narryer Terrane greenstones,A_mwa_YNA,#63FD67
Narryer Terrane greenstones,A_u_YNA,#B1A6FC
Narryer Terrane greenstones,A_xmh_mi_YNA,#BFB1AC
Narryer Terrane greenstones,A_xmro_mwo_YNA,#FFDFDD
Narryer Terrane greenstones,A_xmu_mw_YNA,#D8FFD9
Narryer Terrane metagranitic unit,A_mgms_YNA,#FECFCB
Narryer Terrane metagranitic unit,A_mgn_YNA,#FE6FB8
Narryer Terrane metagranitic unit,A_mgsn_YNA,#FECFCB
Narryer Terrane metagranitic unit,A_mgss_YNA,#FECFCB
Narryer Terrane metagranitic unit,A_xmgn_g_YNA,#FE8E87
Narryer Terrane metagranitic unit,A_xmgn_mb_YNA,#FEAEA9
"Neoproterozoic sedimentary rocks, western Amadeus Basin",P__sk_NA,#FED3AA
"Neoproterozoic--Cambrian sedimentary rocks, Amadeus Basin",P_E_s_NA,#FED3AA
Nerrely Leucogranite,A__ne_gftb,#FE8E87
Ngarrutji Monzogranite,A__ng_gm,#FECFCB
Nickol River Formation,A__nk_s,#D6C8CD
Nilling Formation,P___ni_st,#F5D06E
Ninety Seven Mile Formation and Elimberrie Formation,P___ne_xsp_bb,#FBE7D4
Ningbing Group,D_NI_kl,#D5DBFD
Nob Well Intrusion,A_WAno_xap_ax,#BCB3FD
Nooloo Formation,P__TAn_kt,#F7D886
Noonkanbah Formation,P__no_sf,#B5E1FC
Norie Group,A_NO_b,#8AFE8D
Norie Group,A_NO_msmz,#BEB477
Norie Group,A_NO_musr,#B1A6FC
Nornalup Zone gneissic unit,P__mnqf_KKBN,#FCA4F4
Nornalup Zone metagranitic unit,P__jmgnn_mog_KKBN,#FBA7FA
Nornalup Zone metagranitic unit,P__xmg_gn_KKBN,#FBA7FA
North Pole Monzogranite,A_TAno_gm,#F066B6
North Shaw Tonalite,A_CLns_mgta,#EB3BA0
North Star Basalt,A_WAn_b,#63FD67
North Whundo Intrusion,A_STnw_o,#A5E9C3
Northampton Inlier gneissic unit,P__mnqf_PJNO,#FCA4F4
Northampton Inlier granitic unit,P__g_PJNO,#FE6FB8
Northampton Inlier metamorphosed mafic intrusive unit,P__mog_PJNO,#A5E9C3
Northampton Inlier metasedimentary unit,P__mdn_PJNO,#E3DDDB
Northampton Inlier metasedimentary unit,P__mtq_PJNO,#D2C4C9
Northern Foreland mafic unit,A_mb_AFON,#C4FEC6
Northern Foreland mafic unit,A_mo_AFON,#BCEED2
Northern Foreland mafic unit,A_mu_AFON,#D3CCFD
Northern Foreland mafic unit,A_xmb_mu_AFON,#B1FEB3
Northern Foreland metagranitic unit,A_mgm_AFON,#FEBFBA
Northern Foreland metagranitic unit,A_mgn_AFON,#FEC1E1
Northern Foreland metagranitic unit,A_xmgm_mgr_AFON,#FEAEA9
Northern Foreland metagranitic unit,A_xmgss_mgg_AFON,#FEAEA9
Northern Foreland metagranitic unit,AP__xmg_mo_AFON,#F494C7
Northern Foreland unit,A_xmi_md_AFON,#84CDFA
Northern Foreland unit,A_xmu_md_AFON,#D3CCFD
Northern Foreland unit,AP__mtq_AFON,#E3DDDB
Numbana Monzogranite,A_SRnu_gmp,#FEBFBA
Oldham Sandstone,P___ol_stz,#F2C471
Opaline Well Intrusion,A_STop_xo_a,#A5E9C3
Orpheus Supersuite,A_OP_xg_o,#78DEA4
Orpheus Supersuite,A_OP_xo_a,#78DEA4
Osborne Formation,K_CYo_sll,#BEFE72
Oscar Range Group,P__OS_xs_b,#C0967F
Otorowiri Formation,JK_PAo_sfl,#DFFEB8
Owens Gully Diorite,A_CLow_mgi,#EB3BA0
Padbury Group,P__PA_s,#DDA365
Paddy Market Formation,A_SOp_xca_f,#9DD7FB
"Paleozoic siliciclastic units, Canning Basin",PZ_s_CA,#EAEDFE
Palkapiti Formation,A__lk_xf_s,#FEE79F
Panorama Formation,A_WAp_f,#FED656
Panton Suite,P__PT_xmo_ma,#D3CCFD
Paperbark Supersuite,P__PB_xg_o,#FE9E98
Parda Formation,K__pr_sf,#BEFE72
Pargee Sandstone,P___pg_st,#F5D3B1
Parmelia Group,JK_PA_st,#A9FD43
Paterson Formation,CP__pa_sepg,#9DD7FB
Peak Hill Schist,AP___ph_msqm,#FEDC6E
Pear Creek Formation,A_FOe_xs_b,#EEEFE2
Peawah Granodiorite,A_STpe_ggh,#FECFCB
Pentecost Sandstone,P__KMp_st,#ECCBA7
Petermarer Monzogranite,A_STpr_gmp,#FEBFBA
Petroglyph Gneiss,A_TApe_mgtn,#F066B6
Pigeon Rocks Monzogranite,A__pr_gm,#FEBFBA
Pilbara Craton granitic unit,A_g_P,#FEAEA9
Pilbara Craton greenstones,A_a_P,#C8C0FD
Pilbara Craton greenstones,A_ma_P,#A699FC
Pilbara Craton greenstones,A_map_P,#9080FB
Pilbara Craton greenstones,A_mds_P,#DDE4E6
Pilbara Craton greenstones,A_mhs_P,#DAD2CF
Pilbara craton greenstones,A_mhsc_P,#DAD2CF
Pilbara Craton greenstones,A_moa_P,#8EE4B4
Pilbara Craton greenstones,A_mog_P,#8EE4B4
Pilbara Craton greenstones,A_mtq_P,#DAD2CF
Pilbara Craton greenstones,A_mty_P,#AFBFC6
Pilbara Craton greenstones,A_mu_P,#B1A6FC
Pilbara Craton greenstones,A_musr_P,#D3CCFD
Pilbara Craton greenstones,A_mwa_P,#63FD67
Pilbara Craton greenstones,A_xmwa_g_P,#76FE7A
Pilbara Craton greenstones,A_xmws_mus_P,#C4FEC6
Pilbara Creek Monzogranite,A_STic_gm,#FEAEA9
Pilbara Supergroup,A_PI_ma,#A699FC
Pilbara Supergroup,A_PI_mu,#B1A6FC
Pilbara Supergroup,A_PI_mwa,#8AFE8D
Pilbara Supergroup,A_PI_xmb_mu,#C4FEC6
Pilbara Supergroup,A_PI_xmus_g,#D3CCFD
Pilbara Supergroup,A_PI_xmwa_g,#76FE7A
Pincunah Monzogranite,A_STpi_gmp,#FEBFBA
Pindilya Formation,NM__pi_sr,#D2F4E1
Pinjian Chert Breccia,AP___pj_ccx,#F7D7A0
Pinnacle Hill Gneiss,A_RApi_mgtn,#FFDFDD
Pitjantjatjara Supersuite,P__PJ_mg,#FDD1FB
Pitjantjatjara Supersuite,P__PJ_mgmy,#FDD1FB
Pitjantjatjara Supersuite,P__PJ_mgsy,#FDD1FB
Pitjantjatjara Supersuite 1,P__PJp1_mg,#FBA2F8
Pitjantjatjara Supersuite 2,P__PJp2_mg,#FCB9FA
Pitjantjatjara Supersuite 2,P__PJp2_mgsy,#FCB9FA
Pitjantjatjara Supersuite 2,P__PJp2_xmgg_mhi,#FCB9FA
Pitjantjatjara Supersuite 2,P__PJp2_xmgg_oo,#FCB9FA
Point Salvation Monzogranite,A__ps_gmys,#FECFCB
Polelle Group,A_PO_fa,#FEE79F
Polelle Group,A_PO_xmb_mf,#B1FEB3
Pollock Hills Formation,P___ph_mfd,#F4BAB7
Poocatche Monzogranite,A_SRpo_gmv,#FD7E75
Poole Sandstone,P__po_st,#9DD7FB
Pooranoo Metamorphics,P__PO_md,#E8CABF
Portree Suite,A_STP_g,#FEBFBA
Pottoyu Granite Suite,P__PJO_mg,#FCB9FA
Powdar Monzogranite,A_STpo_gm,#FEAEA9
Premier Coal Measures,P_CLp_snh,#9DD7FB
Prenti Dolerite,P__WKgp_od,#78DEA4
Prices Creek Group,O_PC_kt,#F8E0FE
Proterozoic mafic intrusive unit,P__o,#B0ECCA
Proterozoic mafic intrusive unit,P__od,#4BD386
Proterozoic siliciclastic rocks,P__sz_WAC,#BFADB3
Punkerri Sandstone,P___pu_ss,#FDB977
Puntapunta Formation,P__LAp_kd,#D09587
Pussy Cat Group,P__PU_frp,#D7E9C2
Pussy Cat Group,P__PU_sdv,#D7E9C2
Pussy Cat Group,P__PU_sgb,#D7E9C2
Pussy Cat Group,P__PU_xss_bb,#D7E9C2
Pyradie Formation,A_FOp_bs,#D5D7B6
Pyramid Hill Formation,A_SOy_ca,#9DD7FB
Quadrio Formation and Cornelia Sandstone,P___qc_ss,#EEB041
Racecourse Tonalite,A_ANrc_mg,#F698C6
Radio Hill Intrusion,A_STrh_xo_a,#A5E9C3
Railway Supersuite,A_RA_mg,#FFDFDD
Rapide Granite,P__CNra_mg,#FEDEF8
Ravelstone Formation,P__BYr_ss,#E3C8B5
Rea Dacite,A_OPre_fdp,#FD5E53
Recherche Supersuite,P__RE_jmgnn_mog,#FBA7FA
Recherche Supersuite,P__RE_xmgn_mg,#FBA7FA
Red Hill Volcanics,A_WCr_f,#FEE79F
Red Rock Formation,P___rk_xs_bb,#D1DBDE
Redcliff Pound Group,P_E_RD_s,#DAD2CF
Regal Formation,A__re_b,#D4EFB9
Revolver Creek Formation,P___rc_xss_bb,#EEE7EA
Robinson Range Formation,P__PAr_shi,#E7BE91
Rocklea Inlier greenstones,A_b_PRK,#C4FEC6
Rocklea Inlier greenstones,A_s_PRK,#E3DDDB
Rocklea Inlier metagranitic unit,A_mgn_PRK,#FE6FB8
Rocky Bore Granite,A__rb_gmp,#FECFCB
Roebourne Group,A_RO_xb_u,#E9E6FE
Rooney and Springo Inliers granitic unit,A_g_PRS,#FECFCB
Rooney and Springo Inliers greenstones,A_s_PRS,#E3DDDB
Roundtop Komatiite,A__rt_uk,#BFD156
Ruby Plains Group,P__RP_xs_k,#F5E5D3
Ruins Dolerite,P___ru_mod,#3DE1B6
Rushall Slate,A_CDr_mlv,#A4B6BD
Ryansville Formation,A_GLr_s,#E3DDDB
Salisbury Gneiss,P___sb_xmln_mwo,#099BF5
Sally Downs Supersuite,P__SD_g,#FE9E98
Sally Downs Supersuite,P__SD_xg_o,#FD5E53
Sally Malay Suite,P__SM_xo_a,#E9E6FE
Salt Creek Gabbro,P___sk_og,#6EE9C8
Samuel Formation and Bejah Claystone,K__sb_sf,#BEFE72
San Sou Monzogranite,P___ss_gmb,#ED54A5
Satirist Monzogranite,A_STsa_gm,#FE9E98
Scamp Formation,P__PGs_fr,#FEE1A5
Scotty Creek Formation,A__sc_xsta_sc,#E3DDDB
Shay Intrusion,A_STsh_xo_a,#A5E9C3
Sherlock Intrusion,A_STse_xo_a,#A5E9C3
Shingle Creek Group,P__SK_xb_s,#9EFEA0
Siffleetes Granodiorite,A_CEsf_mgg,#F8BEE0
Sir Frederick Conglomerate,P_E__fd_sg,#FEDCBB
Sisters Supersuite,A_ST_gm,#FEBFBA
Sisters Supersuite,A_ST_gmb,#FEBFBA
Sisters Supersuite,A_ST_gmp,#FEBFBA
Sisters Supersuite,A_ST_xg_o,#F492CA
Skates Hills Formation,P__SUs_xkds_s,#F9DF9E
Skirmish Hill Formation,P__KRs_xf_b,#DAE59F
Slatey Creek Granite,P___sl_gm,#FEBFBA
Snell Well Granodiorite,A_OPsn_gg,#FD5E53
Snowys Dam Formation,P___sd_xmhn_mkqn,#BFADB3
Snowys Dam Formation,P___sd_xmhn_mon,#BFADB3
Sophie Downs Suite,P__SO_xmg_mv,#FC8AFA
South Mallina Basalt Member,A_CDbm_bb,#B8DC3B
South West Terrane cataclasite,AP__myyf_YSW,#B6C01B
South West Terrane greenstones,A_b_YSW,#C4FEC6
South West Terrane greenstones,A_cc_YSW,#9DD7FB
South West Terrane greenstones,A_mb_YSW,#9EFEA0
South West Terrane greenstones,A_md_YSW,#E3DDDB
South West Terrane greenstones,A_mdnf_YSW,#BDA35F
South West Terrane greenstones,A_mf_YSW,#FEE286
South West Terrane greenstones,A_mi_YSW,#6BC3F9
South West Terrane greenstones,A_mkqx_YSW,#FE83C2
South West Terrane greenstones,A_mlsm_YSW,#FEE286
South West Terrane greenstones,A_mtq_YSW,#EC8526
South West Terrane greenstones,A_mw_YSW,#78DEA4
South West Terrane greenstones,A_mwa_YSW,#3CFD41
South West Terrane greenstones,A_mwo_YSW,#62D895
South West Terrane greenstones,A_xmb_mu_YSW,#B1FEB3
South West Terrane greenstones,A_xmdsr_mwo_YSW,#CFDAD7
South West Terrane greenstones,A_xmi_mb_YSW,#53B9F8
South West Terrane greenstones,A_xmi_mwo_YSW,#3AAFF7
South West Terrane greenstones,A_xmno_mni_YSW,#B7C7C2
South West Terrane greenstones,A_xmo_ma_YSW,#9080FB
South West Terrane greenstones,A_xmwo_mro_YSW,#62D895
South Whundo Monzogranite,A_OPso_gm,#FD5E53
Southern Hills Suite,P__RES_mgr,#FA99F9
Spear Hill Monzogranite,A_SRsh_gmp,#FD7E75
Speewah Basin felsic extrusive unit,P__fdp_SP,#FEEDB7
Speewah Group,P__SP_s,#E99ECE
Splinter Gneiss,P__REsg_xmon_mn,#F7B588
Split Rock Supersuite,A_SR_g,#FD7E75
Split Rock Supersuite,A_SR_gme,#FD7E75
Stirling Range Formation,P___sr_mh,#F9DABE
Stockton Group,P_ST_sepg,#9DD7FB
Stokes Siltstone,O__st_sk,#EED1FE
Strelley Monzogranite,A_CEst_gm,#FFDFDD
Strelley Pool Formation,A_PIs_xs_c,#CEEBFD
Strutton Intrusion,A_WAst_xo_a,#A5E9C3
Stubbins Formation,P__TNs_mod,#78DEA4
Stubbins Formation,P__TNs_xmh_mod,#E4DCDF
Surprise Orthogneiss,A_MNso_mgni,#FEADD7
Swincer Dolerite,A__si_o,#E8FAF0
Sylvania Inlier granitic unit,A_g_PYV,#FECFCB
Sylvania Inlier greenstones,A_b_PYV,#C4FEC6
Sylvania Inlier greenstones,A_bk_PYV,#8AFE8D
Sylvania Inlier greenstones,A_cc_PYV,#6BC3F9
Sylvania Inlier greenstones,A_cib_PYV,#099BF5
Sylvania Inlier greenstones,A_f_PYV,#FEE79F
Sylvania Inlier greenstones,A_og_PYV,#8EE4B4
Sylvania Inlier greenstones,A_s_PYV,#E3DDDB
Sylvania Inlier greenstones,A_u_PYV,#B1A6FC
Tabba Tabba Leucogranite,A_SRtt_gme,#FD7E75
Table Hill Volcanics,E__th_xbb_s,#FFECD3
Table Top Formation,A_WAt_mwa,#62D895
Tabletop Zone granitic unit,P__xg_mn_PTRT,#FDD3FD
Talbot and Connaughton Zones metagranitic unit,P__mgnu_PTRO,#FCB6FB
Talbot Zone metasedimentary unit,P__md_PTRB,#FECE90
Taliwanya Formation,P__THt_sta,#DFB9AF
Tambina Supersuite,A_TA_jmgg_mwa,#F066B6
Tambina Supersuite,A_TA_mg,#F066B6
Tambina Supersuite,A_TA_mgti,#FE9E98
Tambourah Monzogranite,A_SRta_gmd,#FE9E98
Tank 44 Gneiss,P___tf_xmnaa_mnqf,#F7B588
Tarcunyah Group,P__TA_sk,#F5D06E
Tarlwa Pool Tonalite,A_CEta_mgt,#F8BEE0
Tchukardine Formation,P__DIt_ss,#FAE7B6
Teague Granite,A__te_gfl,#FFDFDD
Telegootherra Monzogranite,A_BRtg_gm,#FCC1D8
Texas Downs Formation,P___td_xs_bb,#C6D2D6
Thaduna Formation,P__YMt_ss,#FAE2B6
Thelman Monzogranite,A_SRth_gmv,#FD7E75
Thirty Three Supersuite,P__TT_g,#FFD6EB
Throssell Range Group,P__TH_xs_kx,#D8A79B
Tickalara Metamorphics,P__TI_xmw_m,#DDD28C
Tjauwata Group,P__TJ_xmh_mb,#DAD2CF
Tobin Formation,A__tb_xs_c,#E3DDDB
Tollu Group,P__TL_f,#F5EAD8
Tooloo Group,P__ET_xsf_ci,#E0CABF
Toorare Tonalite,A_MRto_mgta,#FE9E98
Toppin Hill Formation,A__tp_xf_s,#FFF3CF
Tozer Formation,A_WHt_xb_f,#FED473
Triberton Granodiorite,A_EMtr_ggp,#F492CA
Trillbar formation,P__BYt_xmw_mu,#E89FBC
Tropicana Gneiss,AP___tc_xmgn_mon,#FEC1E1
Tropicana Gneiss,AP___tc_xmin_mog,#6BC3F9
Tropicana Gneiss,AP___tc_xmog_mae,#4BD386
Tropicana Zone metagranitic unit,AP__mg_KKBT,#FECCE6
Truslove Suite,P__EPT_gm,#FEC8F9
Tuckanarra Suite,A_TU_mg,#F76EA4
Tuckanarra Suite,A_TU_mgmu,#FA98BE
Tumbiana Formation,A_FOt_xb_k,#D5D7B6
Tumblagooda Sandstone,OS__tu_st,#E6C1FF
Turee Creek Group,P__TK_s,#E0CABF
Turkey Hill Formation,P___tk_ss,#DDE4E6
Twin Table Monzogranite,A_RAtw_gf,#FFDFDD
Ularring Monzogranite,A__ul_gm,#FEADD7
Umutju Granite Suite,P__PJU_mg,#FCB9FA
Underwood Gneiss,A_CLun_mgtn,#EB3BA0
"Upper Cretaceous carbonate rocks, greater Carnarvon Basin",K_kl_WC,#D4FEA1
Voodoo Child Formation,P___vc_xmog_mfd,#56E5BF
Wade Creek Formation,P___wc_s,#FDC45D
Wagina Sandstone,P__wg_st,#6BC3F9
Wahlgu Formation,P___wg_sepg,#F1B13B
Waldburg Dolerite,P___wa_od,#41CD50
Walganna Suite,A_BRG_gm,#FCC1D8
Walganna Suite,A_BRG_gmfe,#FCC1D8
Walganna Suite,A_BRG_gmp,#FCC1D8
Walgunya Trondhjemite,A_EMwa_gt,#F492CA
Wallal Sandstone,J__wa_st,#ADFED5
Wallareenya Granodiorite,A_STwa_ggh,#FEBFBA
Waloo Waloo Monzogranite,A_MRwa_gm,#FE9E98
Waltha Woora Formation,P__TAa_kt,#F5D06E
Walungurru Volcanics,P___wu_mfc,#F4BAB7
Waluwiya Suite,P__WU_mgg,#F9ACE7
Wankanki Supersuite,P__WN_mg,#FEAEED
Wankanki Supersuite,P__WN_xmf_mh,#FEAEED
Wankanki Supersuite,P__WN_xmgn_mg,#FD86E3
Wanna Formation,OS__wa_st,#F4D0FE
Warakurna Supersuite,P__WK_g,#FEE4F7
Warakurna Supersuite,P__WK_mg,#FED6F2
Warakurna Supersuite,P__WK_od,#6EE9C8
Warakurna Supersuite,P__WK_xo_f,#6EE9C8
Warambie Basalt,A_WCw_b,#C4FEC6
Warlawurru Supersuite,P__WR_mg,#FCA4F4
Warnbro Group,K_WR_ss,#D4FEA1
Waroongunyah Formation,P__TAw_ktsv,#F9DF9E
Warrawoona Group,A_WA_bb,#D4EFB9
Warrawoona Group,A_WA_mus,#DED9FE
Warrawoona Group,A_WA_muts,#DED9FE
Warrawoona Group,A_WA_mwa,#D4EFB9
Warrawoona Group,A_WA_xb_f,#CAEAA7
Warrawoona Group,A_WA_xbb_bk,#D4EFB9
Warrigal Gneiss,A__wa_mgmn,#FE83C2
Warton Sandstone,P__KMw_st,#F5E5D3
Wartu Monzogranite,A__wt_gm,#FECFCB
Watch Point Formation,P__SUw_ss,#F9DF9E
Wattagee Formation,A_GLw_b,#D8FFD9
Wattagee Formation,A_GLw_f,#FFF3CF
Wattagee Formation,A_GLw_mbms,#E3DDDB
Wattagee Formation,A_GLw_mus,#E9E6FE
Weaber Group,C_WE_sk,#C8D2D5
Weeli Wolli Formation,P__HAj_xci_od,#E0CABF
West Pilbara Superterrane mylonitic unit,A_myy_PWP,#FE98CC
Westralia Sandstone,P_CLw_ss,#9DD7FB
Whitewater Volcanics,P__PBww_f,#FEDC6E
Whundo Group,A_WH_xb_f,#FED473
Whyjabby Granodiorite,A_MRwh_ggp,#FE9E98
Widgiemooltha Supersuite,P__WI_o,#1EC868
Wilgie Mia Formation,A_POw_xcib_f,#84CDFA
Wilina Granodiorite,A_EMwi_gg,#F492CA
